Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
6,NA,27,NA,NA,37,628,6,4345,All Archery Seasons,10,682,5,696,5,5%,669,0.4999999999999989,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Archery Seasons,1016.7,1477.6,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF006O3R,EE006O4R,EF006O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
16,NA,27,NA,NA,33,452,7,2444,All Archery Seasons,7,744,7,771,7,7%,656,-7.691850745534258e-16,  556,  287,52%,40.59127558829043,-106.54270418428226,"  355,632","  183,364",16 All Archery Seasons,813.4,1577.6,https://webmap.onxmaps.com/hunt/map#9.45/40.5912755882904/-106.542704184282,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF016O3R,EE016O4R,EF016O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
17,NA,44,NA,NA,50,617,8,3442,All Archery Seasons,6,670,5,677,6,6%,655,0.9999999999999992,  487,  334,69%,40.46855537653808,-106.31715842380244,"  311,812","  213,812",17 All Archery Seasons,1266.4,1846.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4685553765381/-106.317158423802,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF017O3R,EE017O4R,EF017O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A",OTCAA,Archery Antlerless
18,NA,60,NA,NA,73,1070,7,6503,All Archery Seasons,13,1356,4,1157,6,6%,1194,0.5000000000000003,"1,109",  716,65%,40.23015999963011,-105.97606297890532,"  709,781","  458,386",18 All Archery Seasons,964.8,1493.9,https://webmap.onxmaps.com/hunt/map#9.45/40.2301599996301/-105.976062978905,"EF018L1R,EE018O1R,EF018O1R,EE018O1M,EF018O1M,EF018O2R,EF018O3R,EE018O4R,EF018O4R,EE018P1R,EE018P4R,EF018P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE018V1A,EF018V1A",OTCAA,Archery Antlerless
21,NA,64,NA,NA,94,633,15,4474,All Archery Seasons,31,633,15,681,11,14%,649,1.999999999999997,"1,509","1,326",88%,39.85774449788705,-108.80289524752595,"  965,610","  848,591",21 All Archery Seasons,419.5,477.4,https://webmap.onxmaps.com/hunt/map#9.45/39.857744497887/-108.802895247526,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
22,NA,135,NA,NA,158,724,22,5326,All Archery Seasons,23,748,12,797,13,16%,756,4.499999999999999,"1,680","1,289",77%,39.886419868391634,-108.28245258861124,"1,075,014","  825,166",22 All Archery Seasons,431,561.5,https://webmap.onxmaps.com/hunt/map#9.45/39.8864198683916/-108.282452588611,"EF022L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
30,NA,10,NA,NA,22,162,14,933,All Archery Seasons,12,225,12,198,7,11%,195,3.4999999999999982,"1,451","1,073",74%,39.33317031774471,-108.77099754861048,"  928,827","  686,736",30 All Archery Seasons,111.6,151,https://webmap.onxmaps.com/hunt/map#9.45/39.3331703177447/-108.77099754861,"EF030L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
31,NA,54,NA,NA,67,342,20,2337,All Archery Seasons,13,326,8,332,20,16%,333,-1.2560739669470205e-15,"1,178",  679,58%,39.43550762747674,-108.40337625907118,"  753,712","  434,248",31 All Archery Seasons,290.4,504,https://webmap.onxmaps.com/hunt/map#9.45/39.4355076274767/-108.403376259071,"EF031L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
32,NA,54,NA,NA,64,410,16,2801,All Archery Seasons,10,317,26,335,11,18%,354,2.4999999999999947,  507,  199,39%,39.56439704833727,-108.03367958650692,"  324,575","  127,531",32 All Archery Seasons,808.4,2057.5,https://webmap.onxmaps.com/hunt/map#9.45/39.5643970483373/-108.033679586507,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
38,NA,23,NA,NA,32,478,7,3582,All Archery Seasons,9,510,10,454,7,8%,481,-1.2560739669470205e-15,  774,  237,31%,39.82568147662041,-105.36350087351084,"  495,372","  151,588",38 All Archery Seasons,617.6,2018.1,https://webmap.onxmaps.com/hunt/map#9.45/39.8256814766204/-105.363500873511,"EF038L1R,EF038L2R,EM038O1R,EF038O1R,EM038O1M,EF038O1M,EF038O2R,EF038O3R,EM038O4R,EF038O4R,EF038P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE038V1A,EF038V1A",OTCAA,Archery Antlerless
43,NA,63,NA,NA,77,921,8,6752,All Archery Seasons,13,1058,8,1089,8,8%,1023,-0,"1,244",  908,73%,39.22614533593483,-107.1376260233469,"  796,327","  581,421",43 All Archery Seasons,740.2,1013.8,https://webmap.onxmaps.com/hunt/map#9.45/39.2261453359348/-107.137626023347,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF043O2R,EF043O3R,EE043O4R,EF043O4R,EE043P1R,EF043P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTCAA,Archery Antlerless
59,NA,33,NA,NA,36,258,14,1643,All Archery Seasons,3,278,5,246,8,9%,261,3.000000000000001,"1,062",  359,34%,38.63553152685768,-104.93071633472243,"  679,587","  229,780",59 All Archery Seasons,243,718.6,https://webmap.onxmaps.com/hunt/map#9.45/38.6355315268577/-104.930716334722,"EM059O1R,EF059O1R,EM059O1M,EF059O1M,EF059O2R,EF059O3R,EM059O4R,EF059O4R,EF059P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTCAA,Archery Antlerless
82,NA,30,NA,NA,39,485,8,3120,All Archery Seasons,9,718,7,646,12,9%,616,-2.0000000000000004,"1,751",  972,56%,37.87394169273942,-105.73015996019376,"1,120,579","  622,224",82 All Archery Seasons,277,498.9,https://webmap.onxmaps.com/hunt/map#9.45/37.8739416927394/-105.730159960194,"EE082O1R,EF082O1R,EE082O1M,EF082O1M,EF682O1M,EF082O2R,EF082O3R,EE082O4R,EF082O4R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE082V1A,EF082V1A",OTCAA,Archery Antlerless
85,NA,168,NA,NA,183,1086,17,8793,All Archery Seasons,15,1051,10,1200,10,12%,1112,3.499999999999999,"1,866",  280,15%,37.42278485238103,-104.9009267551865,"1,194,176","  179,086",85 All Archery Seasons,582,3881,https://webmap.onxmaps.com/hunt/map#9.45/37.422784852381/-104.900926755187,"EF085L1R,EE085O1R,EE085O1M,EF085O1M,EF085O2R,EF085O3R,EE085O4R,EF085O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A,EE084W1R,EF084W1R,EF084W3R,EF084W5R,EE085W1R,EF085W1R",OTCAA,Archery Antlerless
86,NA,33,NA,NA,49,646,8,4619,All Archery Seasons,17,790,8,723,7,8%,720,0.49999999999999967,  801,  445,56%,38.215358434113504,-105.66933804392954,"  512,901","  284,886",86 All Archery Seasons,806.1,1451.2,https://webmap.onxmaps.com/hunt/map#9.45/38.2153584341135/-105.66933804393,"EE086O1R,EE086O1M,EF086O1M,EF086O2R,EF086O3R,EE086O4R,EF086O4R,EE086P1R,EF086P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE086V1A,EF086V1A",OTCAA,Archery Antlerless
133,NA,7,NA,NA,7,24,29,123,All Archery Seasons,0,18,0,16,41,23%,19,-6.0000000000000036,  920,   30,3%,37.62023701702331,-104.44356098402986,"  588,528","   19,015",133 All Archery Seasons,26.1,807.8,https://webmap.onxmaps.com/hunt/map#9.45/37.6202370170233/-104.44356098403,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAA,Archery Antlerless
134,NA,3,NA,NA,7,10,67,100,All Archery Seasons,3,7,50,15,0,39%,11,33.50000000000001,  632,    4,1%,37.455709017216144,-104.30938640767955,"  404,550","    2,726",134 All Archery Seasons,15.8,2347.7,https://webmap.onxmaps.com/hunt/map#9.45/37.4557090172161/-104.30938640768,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAA,Archery Antlerless
140,NA,33,NA,NA,37,122,30,842,All Archery Seasons,4,161,25,206,22,26%,163,3.9999999999999964,  723,   33,5%,37.09455404038734,-104.2229487686456,"  462,543","   21,286",140 All Archery Seasons,168.8,3668.1,https://webmap.onxmaps.com/hunt/map#9.45/37.0945540403873/-104.222948768646,"EF085L1R,EE085O1R,EE085O1M,EF085O1M,EF085O2R,EF085O3R,EE085O4R,EF085O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A",OTCAA,Archery Antlerless
141,NA,3,NA,NA,7,20,33,119,All Archery Seasons,3,11,33,12,0,22%,14,16.5,  378,    1,0%,37.29565413878794,-104.14405079302742,"  241,723",      594,141 All Archery Seasons,53,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.2956541387879/-104.144050793027,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAA,Archery Antlerless
142,NA,0,NA,NA,0,10,0,37,All Archery Seasons,0,46,0,8,0,0%,21,-0,  586,    1,0%,37.49722632165355,-103.91826853715182,"  375,065",      477,142 All Archery Seasons,17.1,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.4972263216535/-103.918268537152,"EF142L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAA,Archery Antlerless
161,NA,40,NA,NA,74,730,10,5463,All Archery Seasons,34,1021,4,1116,6,7%,956,2,  714,  531,74%,40.87823554952699,-106.5314186789568,"  457,058","  339,930",161 All Archery Seasons,1022.2,1374.4,https://webmap.onxmaps.com/hunt/map#9.45/40.878235549527/-106.531418678957,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF161O3R,EE161O4R,EF161O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
171,NA,17,NA,NA,24,546,4,3511,All Archery Seasons,7,611,4,577,6,5%,578,-1.0000000000000009,  444,  339,76%,40.51331220378768,-106.10143313372352,"  284,160","  216,814",171 All Archery Seasons,1229.7,1611.7,https://webmap.onxmaps.com/hunt/map#9.45/40.5133122037877/-106.101433133724,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF017O3R,EF017O4R,EE171O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
181,NA,3,NA,NA,10,302,3,1580,All Archery Seasons,7,363,4,404,7,5%,356,-2.0000000000000013,  313,  187,60%,40.233714818332615,-106.3873715171488,"  200,051","  119,416",181 All Archery Seasons,966.2,1618.5,https://webmap.onxmaps.com/hunt/map#9.45/40.2337148183326/-106.387371517149,"EF181L1R,EE018O1R,EF018O1R,EE018O1M,EF018O1M,EF181O2R,EF181O3R,EE018O4R,EF181O4R,EE018P1R,EE018P4R,EF181P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE018V1A,EF018V1A",OTCAA,Archery Antlerless
431,NA,3,NA,NA,3,71,5,400,All Archery Seasons,0,NA,NA,NA,NA,5%,71,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,431 All Archery Seasons,NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF043O2R,EF043O3R,EE043O4R,EF043O4R,EE043P1R,EF043P5R,EE000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTCAA,Archery Antlerless
471,NA,13,NA,NA,16,162,10,1061,All Archery Seasons,3,156,2,244,6,6%,187,2.000000000000001,  173,  155,90%,39.081094095283945,-106.7247845557572,"  110,661","   99,103",471 All Archery Seasons,936.9,1046.2,https://webmap.onxmaps.com/hunt/map#9.45/39.0810940952839/-106.724784555757,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF471O2R,EF471O3R,EE471O4R,EF471O4R,EE043P1R,EF471P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTCAA,Archery Antlerless
511,NA,23,NA,NA,33,458,7,3307,All Archery Seasons,10,493,3,568,4,5%,506,1.5000000000000004,  601,  370,61%,39.02133657600035,-105.08339590403808,"  384,760","  236,507",511 All Archery Seasons,761.8,1239.4,https://webmap.onxmaps.com/hunt/map#9.45/39.0213365760004/-105.083395904038,"EM511O1R,EF511O1R,EM059O1M,EF059O1M,EF511O2R,EF511O3R,EM511O4R,EF511O4R,EF511P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A",OTCAA,Archery Antlerless
581,NA,10,NA,NA,10,352,3,2557,All Archery Seasons,0,410,5,275,4,4%,346,-0.5000000000000012,"1,134",  447,39%,38.75502221909619,-105.33209374010389,"  725,721","  286,068",581 All Archery Seasons,310.4,787.5,https://webmap.onxmaps.com/hunt/map#9.45/38.7550222190962/-105.332093740104,"EM059O1R,EF059O1R,EM059O1M,EF059O1M,EF059O2R,EF059O3R,EM059O4R,EF059O4R,EF581P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTCAA,Archery Antlerless
591,NA,6,NA,NA,10,169,6,1229,All Archery Seasons,3,135,10,88,11,9%,131,-2.500000000000002,  353,    0,0%,38.558887933380966,-104.82665250195026,"  225,907",        0,591 All Archery Seasons,478.8,NA,https://webmap.onxmaps.com/hunt/map#9.45/38.558887933381/-104.82665250195,"EF591L1R,EM059O1M,EF059O1M,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTCAA,Archery Antlerless
691,NA,3,NA,NA,6,21,30,102,All Archery Seasons,3,19,0,28,0,10%,23,15.000000000000007,  411,  187,45%,38.35059076174274,-105.4502421084166,"  262,775","  119,497",691 All Archery Seasons,51.1,112.5,https://webmap.onxmaps.com/hunt/map#9.45/38.3505907617427/-105.450242108417,"EE086O1R,EE086O1M,EF086O1M,EF086O2R,EF086O3R,EE086O4R,EF086O4R,EE086P1R,EF086P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE086V1A,EF086V1A",OTCAA,Archery Antlerless
791,NA,0,NA,NA,0,11,0,25,All Archery Seasons,0,19,29,11,25,18%,14,-12.50000000000001,  524,    7,1%,37.67314397352413,-106.00071206761967,"  335,271","    4,464",791 All Archery Seasons,21,1577,https://webmap.onxmaps.com/hunt/map#9.45/37.6731439735241/-106.00071206762,"EF682O1M,EF000U1A,EF682V1A",OTCAA,Archery Antlerless
851,NA,27,NA,NA,32,156,20,1226,All Archery Seasons,5,147,20,186,12,17%,163,4,  690,   90,13%,37.07928756609083,-104.8869639219515,"  441,351","   57,329",851 All Archery Seasons,226.2,1741.5,https://webmap.onxmaps.com/hunt/map#9.45/37.0792875660908/-104.886963921952,"EE851K2R,EE851K3R,EF085L1R,EF851L1R,EF851L2R,EF851L3R,EE085O1R,EM851O1R,EE085O1M,EF085O1M,EM851O1M,EE851O1A,EF085O2R,EM851O2R,EF085O3R,EM851O3R,EE085O4R,EF085O4R,EM851O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A,EE851W1R,EF851W1R,EE851W2R,EF851W2R,EF851W6R,EF851W4R",OTCAA,Archery Antlerless
861,NA,17,NA,NA,17,260,6,1698,All Archery Seasons,0,285,7,318,6,6%,288,-7.850462293418879e-16,  332,  122,37%,37.74426059096755,-105.36547409834527,"  212,183","   77,850",861 All Archery Seasons,784.2,2137.4,https://webmap.onxmaps.com/hunt/map#9.45/37.7442605909675/-105.365474098345,"EE086O1R,EE086O1M,EF086O1M,EF086O2R,EF086O3R,EE086O4R,EF086O4R,EE086P1R,EF086P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE086V1A,EF086V1A,EE084W1R,EF084W1R,EF084W3R,EF084W5R",OTCAA,Archery Antlerless
3,NA,13,NA,NA,16,109,15,775,All Archery Seasons,3,160,8,152,16,13%,140,-0.4999999999999992,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Archery Seasons,73.9,139.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"EF003L1R,EF003O1R,EM003O1R,EE003O1M,EF003O1M,EE003O1R,EM003O2R,EF003O2R,EM003O3R,EF003O3R,EM003O4R,EF003O4R,EE003O4R,EE003P1R,EE003P1A,EF003P5R,EE000U1A,EM000U2R,EM000U3R,EE003V1A,EF301W4R,EF441W2R,EF003W5R,EF004W5R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE003W1R,EE003W3R,EF003W1R,EF003W3R,EE004W2R,EF004W2R,EE301W2R,EF301W2R,EE005W2R,EF005W2R,EF005W4R,EE004W1R,EE004W3R,EF004W1R,EF004W3R",OTCAE,Archery Either Sex
6,NA,27,NA,NA,37,628,6,4345,All Archery Seasons,10,682,5,696,5,5%,669,0.4999999999999989,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Archery Seasons,1016.7,1477.6,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF006O3R,EE006O4R,EF006O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAE,Archery Either Sex
11,NA,54,NA,NA,61,312,19,1728,All Archery Seasons,7,360,10,337,17,15%,336,1.0000000000000009,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Archery Seasons,297.2,445.8,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"EF011L1R,EM011O1R,EF011O1R,EE011O1M,EF011O1M,EF011O2R,EM011O2R,EM011O3R,EF011O3R,EM011O4R,EF011O4R,EE011P1R,EE011P1A,EF011P5R,EE000U1A,EM000U2R,EM000U3R,EE011V1A,EF011W6R,EE011W1R,EF011W1R,EF011W3R,EE011W2R,EE011W4R,EF011W2R,EF011W4R",OTCAE,Archery Either Sex
13,NA,47,NA,NA,71,246,29,1470,All Archery Seasons,24,228,25,267,28,27%,247,0.49999999999999734,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Archery Seasons,393.4,3725.4,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"EF013L1R,EM011O1R,EF011O1R,EE011O1M,EF011O1M,EE012P1M,EM011O2R,EF012O2R,EM011O3R,EF012O3R,EF011O4R,EM012O4R,EE011P1R,EF012P1M,EE011P1A,EF011P5R,EE000U1A,EM000U2R,EM000U3R,EE011V1A,EF011W6R,EE011W2R,EE011W4R,EF011W2R,EF011W4R",OTCAE,Archery Either Sex
14,NA,54,NA,NA,67,906,7,6344,All Archery Seasons,13,1375,5,1751,9,7%,1344,-1.0000000000000002,  711,  608,86%,40.64805223700346,-106.78235398060852,"  454,811","  389,164",14 All Archery Seasons,1274.9,1490,https://webmap.onxmaps.com/hunt/map#9.45/40.6480522370035/-106.782353980609,"EM014O1R,EF014O1R,EE014O1M,EF014O1M,EM003O2R,EF014O2R,EM003O3R,EF014O3R,EM014O4R,EF014O4R,EE003P1A,EF014P5R,EE000U1A,EM000U2R,EM000U3R,EE014V1A",OTCAE,Archery Either Sex
15,NA,47,NA,NA,73,1120,6,7415,All Archery Seasons,26,1243,4,1360,7,6%,1241,-0.5000000000000011,  843,  550,65%,40.14756246676384,-106.73103073997014,"  539,743","  351,922",15 All Archery Seasons,1328,2036.8,https://webmap.onxmaps.com/hunt/map#9.45/40.1475624667638/-106.73103073997,"EE015O1R,EF015O1R,EE015O1M,EF015O1M,EF015O2R,EF015O3R,EE015O4R,EF015O4R,EE015P1R,EE015P2R,EE015P3R,EE015P4R,EF015P5R,EE000U1A,EM000U2R,EM000U3R,EE015V1A",OTCAE,Archery Either Sex
16,NA,27,NA,NA,33,452,7,2444,All Archery Seasons,7,744,7,771,7,7%,656,-7.691850745534258e-16,  556,  287,52%,40.59127558829043,-106.54270418428226,"  355,632","  183,364",16 All Archery Seasons,813.4,1577.6,https://webmap.onxmaps.com/hunt/map#9.45/40.5912755882904/-106.542704184282,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF016O3R,EE016O4R,EF016O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAE,Archery Either Sex
17,NA,44,NA,NA,50,617,8,3442,All Archery Seasons,6,670,5,677,6,6%,655,0.9999999999999992,  487,  334,69%,40.46855537653808,-106.31715842380244,"  311,812","  213,812",17 All Archery Seasons,1266.4,1846.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4685553765381/-106.317158423802,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF017O3R,EE017O4R,EF017O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A",OTCAE,Archery Either Sex
18,NA,60,NA,NA,73,1070,7,6503,All Archery Seasons,13,1356,4,1157,6,6%,1194,0.5000000000000003,"1,109",  716,65%,40.23015999963011,-105.97606297890532,"  709,781","  458,386",18 All Archery Seasons,964.8,1493.9,https://webmap.onxmaps.com/hunt/map#9.45/40.2301599996301/-105.976062978905,"EF018L1R,EE018O1R,EF018O1R,EE018O1M,EF018O1M,EF018O2R,EF018O3R,EE018O4R,EF018O4R,EE018P1R,EE018P4R,EF018P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE018V1A,EF018V1A",OTCAE,Archery Either Sex
21,NA,64,NA,NA,94,633,15,4474,All Archery Seasons,31,633,15,681,11,14%,649,1.999999999999997,"1,509","1,326",88%,39.85774449788705,-108.80289524752595,"  965,610","  848,591",21 All Archery Seasons,419.5,477.4,https://webmap.onxmaps.com/hunt/map#9.45/39.857744497887/-108.802895247526,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAE,Archery Either Sex
22,NA,135,NA,NA,158,724,22,5326,All Archery Seasons,23,748,12,797,13,16%,756,4.499999999999999,"1,680","1,289",77%,39.886419868391634,-108.28245258861124,"1,075,014","  825,166",22 All Archery Seasons,431,561.5,https://webmap.onxmaps.com/hunt/map#9.45/39.8864198683916/-108.282452588611,"EF022L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAE,Archery Either Sex
25,NA,16,NA,NA,33,526,6,3302,All Archery Seasons,16,705,4,564,5,5%,598,0.4999999999999996,  394,  329,84%,39.81704167850825,-107.11935665214747,"  252,043","  210,464",25 All Archery Seasons,1335.6,1599.5,https://webmap.onxmaps.com/hunt/map#9.45/39.8170416785082/-107.119356652147,"EM011O1R,EF025O1R,EE025O1M,EF025O1M,EF025O2R,EF025O3R,EM025O4R,EF025O4R,EE011P1R,EE011P1A,EF025P5R,EE000U1A,EM000U2R,EM000U3R,EE025V1A,EE025W1R,EF025W1R,EF025W2R",OTCAE,Archery Either Sex
26,NA,23,NA,NA,23,413,6,2533,All Archery Seasons,0,418,5,464,4,5%,432,0.9999999999999992,  410,  199,49%,39.98645866485458,-106.939813231828,"  262,167","  127,237",26 All Archery Seasons,1008.2,2077.4,https://webmap.onxmaps.com/hunt/map#9.45/39.9864586648546/-106.939813231828,"EF026L1R,EM011O1R,EF025O1R,EE025O1M,EF025O1M,EF025O2R,EF025O3R,EF025O4R,EM026O4R,EE011P1R,EE011P1A,EF025P5R,EE000U1A,EM000U2R,EM000U3R,EE025V1A,EE025W1R,EF025W1R,EF025W2R",OTCAE,Archery Either Sex
27,NA,7,NA,NA,17,391,4,2207,All Archery Seasons,10,436,4,378,5,4%,402,-0.5000000000000012,  338,  181,53%,40.20010138916104,-106.53017954993072,"  216,492","  115,637",27 All Archery Seasons,1155.9,2164,https://webmap.onxmaps.com/hunt/map#9.45/40.200101389161/-106.530179549931,"EF027L1R,EE027O1R,EF027O1R,EE015O1M,EF015O1M,EF027O2R,EF027O3R,EE027O4R,EF027O4R,EE027P1R,EE027P4R,EF027P5R,EE000U1A,EM000U2R,EM000U3R,EE015V1A",OTCAE,Archery Either Sex
28,NA,16,NA,NA,32,882,4,6236,All Archery Seasons,16,1266,3,1224,4,4%,1124,-3.9252311467094393e-16,"1,130",  765,68%,39.9390718102676,-105.96096270574034,"  723,370","  489,343",28 All Archery Seasons,780.3,1153.5,https://webmap.onxmaps.com/hunt/map#9.45/39.9390718102676/-105.96096270574,"EE028O1R,EF028O1R,EE028O1M,EF028O1M,EF028O2R,EF028O3R,EE028O4R,EF028O4R,EE028P1R,EE028P1A,EE028P4R,EF028P5R,EE000U1A,EM000U2R,EM000U3R,EE028V1A",OTCAE,Archery Either Sex
