Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
444,NA,22,NA,NA,22,85,26,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,174,6,176,22,18%,145,1.9999999999999982,  622,  409,66%,39.44359782244991,-106.94552266255688,"  398,337","  262,028",444 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),136.6,207.6,https://webmap.onxmaps.com/hunt/map#9.45/39.4435978224499/-106.945522662557,"EM044O1R,EF044O1R,EM044O1M,EF044O1M,EE044O1A,EF444O2R,EF444O3R,EM444O4R,EF444O4R,EF444P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
471,NA,4,NA,NA,4,4,100,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,21,0,7,53,51%,11,23.500000000000018,  173,  155,90%,39.081094095283945,-106.7247845557572,"  110,661","   99,103",471 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),23.1,25.8,https://webmap.onxmaps.com/hunt/map#9.45/39.0810940952839/-106.724784555757,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF471O2R,EF471O3R,EE471O4R,EF471O4R,EE043P1R,EF471P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTC3R,Third Season Antlered
511,NA,7,NA,NA,7,136,5,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,203,2,186,6,4%,175,-0.5000000000000004,  601,  370,61%,39.02133657600035,-105.08339590403808,"  384,760","  236,507",511 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),226.2,368,https://webmap.onxmaps.com/hunt/map#9.45/39.0213365760004/-105.083395904038,"EM511O1R,EF511O1R,EM059O1M,EF059O1M,EF511O2R,EF511O3R,EM511O4R,EF511O4R,EF511P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A",OTC3R,Third Season Antlered
521,NA,35,NA,NA,35,226,15,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,249,6,245,7,9%,240,4,  843,  635,75%,39.03052366129115,-107.44644912379322,"  539,236","  406,373",521 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),268.2,355.9,https://webmap.onxmaps.com/hunt/map#9.45/39.0305236612911/-107.446449123793,"EM041O1R,EF521O1R,EM041O1M,EF521O1M,EE521O1A,EF521O2R,EF521O3R,EM041O4R,EF521O4R,EE041P1R,EE052P1A,EE041P4R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
581,NA,30,NA,NA,30,247,12,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,249,7,353,7,9%,283,2.499999999999999,"1,134",  447,39%,38.75502221909619,-105.33209374010389,"  725,721","  286,068",581 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),217.8,552.6,https://webmap.onxmaps.com/hunt/map#9.45/38.7550222190962/-105.332093740104,"EM059O1R,EF059O1R,EM059O1M,EF059O1M,EF059O2R,EF059O3R,EM059O4R,EF059O4R,EF581P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTC3R,Third Season Antlered
591,NA,4,NA,NA,4,34,11,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,46,15,30,12,13%,37,-0.5000000000000033,  353,    0,0%,38.558887933380966,-104.82665250195026,"  225,907",        0,591 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),96.3,NA,https://webmap.onxmaps.com/hunt/map#9.45/38.558887933381/-104.82665250195,"EF591L1R,EM059O1M,EF059O1M,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTC3R,Third Season Antlered
681,NA,42,NA,NA,42,305,14,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,224,11,253,9,11%,261,2.5000000000000004,  721,  634,88%,38.23185870018895,-106.21522653779576,"  461,479","  405,940",681 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),423,480.9,https://webmap.onxmaps.com/hunt/map#9.45/38.231858700189/-106.215226537796,"EM068O1R,EM068O1M,EF068O1M,EF068O2R,EF068O3R,EM068O4R,EF068O4R,EE000U1A,EM000U2R,EM000U3R,EE068V1A",OTC3R,Third Season Antlered
691,NA,4,NA,NA,4,21,18,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,7,0,11,0,6%,13,9.000000000000004,  411,  187,45%,38.35059076174274,-105.4502421084166,"  262,775","  119,497",691 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),51.1,112.5,https://webmap.onxmaps.com/hunt/map#9.45/38.3505907617427/-105.450242108417,"EE086O1R,EE086O1M,EF086O1M,EF086O2R,EF086O3R,EE086O4R,EF086O4R,EE086P1R,EF086P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE086V1A,EF086V1A",OTC3R,Third Season Antlered
711,NA,88,NA,NA,88,585,15,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,526,9,599,16,13%,570,-0.5000000000000004,"1,313",  806,61%,37.76272237393551,-108.68985424947326,"  840,059","  515,765",711 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),445.7,725.9,https://webmap.onxmaps.com/hunt/map#9.45/37.7627223739355/-108.689854249473,"EM071O1R,EF071O1R,EM071O1M,EF071O1M,EM071O1A,EF071O1A,EF711O2R,EF711O3R,EM071O4R,EF711O4R,EM071P1R,EF071P1R,EE071P1A,EM071P4R,EF071P4R,EF072P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
741,NA,24,NA,NA,24,69,35,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,57,56,55,6,32%,60,14.499999999999993,  762,   23,3%,37.14199805671205,-108.0967104626059,"  487,967","   15,025",741 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),90.5,2939.2,https://webmap.onxmaps.com/hunt/map#9.45/37.141998056712/-108.096710462606,"EM074O1R,EF074O1R,EM074O1M,EF074O1M,EM074O1A,EF074O1A,EF741O2R,EF741O3R,EM074O4R,EF741O4R,EM074P1R,EF074P1R,EE074P1A,EM074P4R,EF074P4R,EF741P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
