Unit,CategoryOldHarv,BucksOldHarv,AntlerlessOldHarv,Total HarvestOldHarv,Total HuntersOldHarv,Percent SuccessOldHarv,Total Rec. DaysOldHarv,TH23OldHarv,PS23OldHarv,TH22OldHarv,PS22OldHarv,threeyearsuccessOldHarv,threeyearshuntersOldHarv,slopeOldHarv,UnitListOldHarv,gmu_area_sqmiOldHarv,public_sqmiOldHarv,percent_publicOldHarv,latitudeOldHarv,longitudeOldHarv,AcresOldHarv,Acres PublicOldHarv,harvestunitOldHarv,Hunters Density Per Sq. MileOldHarv,Hunters Density Per Public Sq. MileOldHarv,onxOldHarv,TagsOldHarv,OTCCat,OTCOldHarv,DAU,Total_Hunters_estimate,Total_Hunters_SE,Total_Hunters_LCL,Total_Hunters_UCL,Total_Harvest_estimate,Total_Harvest_SE,Total_Harvest_LCL,Total_Harvest_UCL,Success_DAU,Total_Days_estimate,SE,LCL,UCL,Sample_Rate,Response_Rate,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),onx
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,12,694,741,268,14,243,296,0.37,3473,141,3207,3760,0.98,0.52,"1,199.72609",  187.6353719955,16%,40.82549145790373,-103.9360505460238,"  767,824.70","  120,086.63807713",North Tablelands,1820,36,https://webmap.onxmaps.com/hunt/map#9.45/40.8254914579037/-103.936050546024
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,12,694,741,268,14,243,296,0.37,3473,141,3207,3760,0.98,0.52,"1,351.86371",   58.6975696778,4%,40.81542938295689,-103.40853194542626,"  865,192.78","   37,566.44459378",North Tablelands,1820,36,https://webmap.onxmaps.com/hunt/map#9.45/40.8154293829569/-103.408531945426
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,12,694,741,268,14,243,296,0.37,3473,141,3207,3760,0.98,0.52,  655.55635,   13.0546830750,2%,40.92053943146104,-102.82788923189658,"  419,556.07","    8,354.99716801",North Tablelands,1820,36,https://webmap.onxmaps.com/hunt/map#9.45/40.920539431461/-102.827889231897
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,12,694,741,268,14,243,296,0.37,3473,141,3207,3760,0.98,0.52,"1,286.52246",   27.4001007061,2%,40.48492359532595,-103.72152182062482,"  823,374.37","   17,536.06445192",North Tablelands,1820,36,https://webmap.onxmaps.com/hunt/map#9.45/40.484923595326/-103.721521820625
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,67,1,65,69,58,2,55,62,0.87,380,15,352,410,1,0.7,"1,430.21021",  888.0957642566,62%,40.30322739112264,-108.77259687033796,"  915,334.53","  568,381.28912421",Rangely,870,42,https://webmap.onxmaps.com/hunt/map#9.45/40.3032273911226/-108.772596870338
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,"1,049.72571",  699.8219840785,67%,40.301233903831125,-108.2265606800728,"  671,824.46","  447,886.06981023",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  845.56726,  441.2296796117,52%,40.21434540864836,-107.4903697865117,"  541,163.05","  282,386.99495149",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  625.35711,   66.0322999742,11%,40.41797950603164,-107.32122641638192,"  400,228.55","   42,260.67198346",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,"1,679.71009","1,289.3213922339",77%,39.886419868391634,-108.28245258861124,"1,075,014.46","  825,165.69102970",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/39.8864198683916/-108.282452588611
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  719.44911,  321.4527950841,45%,39.94640973275925,-107.77863139875213,"  460,447.43","  205,729.78885380",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/39.9464097327592/-107.778631398752
